order_braun;pattern;text;adjective;form;page;category;corpus
534;a2;ta;homely;a;236;C;B
535;a3;tbw;heavy;s;107;C;B
536;a3;tbw;heavy;s;107;C;B
537;a3;tbw;subtle;a;156;C;B
538;a3;tul;early;s;24;C;B
539;a3;tul;happy;s;43;C;B
540;a3;tul;easy;s;43;C;B
541;a3;tul;easy;s;51;C;B
542;a3;tul;common;a;76;C;B
543;a3;tul;heavy;s;92;C;B
544;a3;tul;flashy;s;107;C;B
545;a3;tul;silly;s;111;C;B
546;a3;tul;homely;a;111;C;B
547;a3;tul;happy;s;114;C;B
548;a3;tul;common;s;129;C;B
549;a3;tul;early;s;157;C;B
550;a3;tul;early;s;162;C;B
551;a3;tul;shallow;s;192;C;B
552;a3;tul;pleasant;a;194;C;B
553;a3;tul;ugly;a;197;C;B
554;a3;tul;early;s;224;C;B
555;a3;tul;common;a;230;C;B
556;a3;tul;sober;a;244;C;B
557;a3;tul;quiet;s;254;C;B
558;a3;tul;dirty;s;256;C;B
559;a3;tul;early;s;274;C;B
560;a3;tul;healthy;s;274;C;B
561;a3;tul;early;s;274;C;B
562;a3;tul;simple;s;301;C;B
563;a3;tul;quiet;s;328;C;B
564;a3;tul;comely;a;349;C;B
565;a3;tul;shiny;s;356;C;B
566;a3;lat;pretty;s;88;C;B
567;b1;tbw;simple;s;11;C;B
568;b1;tbw;thirsty;s;13;C;B
569;b1;tbw;likely;a;31;C;B
570;b1;tbw;likely;a;91;C;B
571;b1;tbw;simple;s;97;C;B
572;b1;tbw;easy;s;233;C;B
573;b1;tbw;costly;a;276;C;B
574;b1;tul;likely;a;31;C;B
575;b1;tul;happy;s;43;C;B
576;b1;tul;likely;a;62;C;B
577;b1;tul;ready;s;73;C;B
578;b1;tul;gentle;s;86;C;B
579;b1;tul;gentle;s;86;C;B
580;b1;tul;healthy;a;169;C;B
581;b1;tul;healthy;s;182;C;B
582;b1;tul;holy;s;204;C;B
583;b1;tul;easy;s;244;C;B
584;b1;tul;happy;s;284;C;B
585;b1;tul;common;a;309;C;B
586;b1;tul;easy;s;323;C;B
587;b1;tul;ready;s;335;C;B
588;b1;tul;easy;s;339;C;B
589;b1;pce;friendly;s;24;C;B
590;b1;pce;common;s;29;C;B
591;b1;pce;easy;s;74;C;B
592;b1;pce;easy;s;157;C;B
593;b1;pce;likely;a;184;C;B
594;b1;pce;common;a;205;C;B
595;b1;pce;common;s;231;C;B
596;b1;ja;clever;a;39;C;B
597;b1;rat;handsome;a;37;C;B
598;b1;rat;subtle;a;50;C;B
599;b1;rat;greedy;a;98;C;B
600;b1;lat;happy;s;255;C;B
601;b1;ta;cosy;s;22;C;B
602;b1;ta;steady;s;152;C;B
603;b1;ta;likely;a;174;C;B
604;b1;ta;pure;s;232;C;B
605;b1;ta;quiet;s;270;C;B
606;b1;ta;clever;s;297;C;B
607;b2;tbw;likely;a;23;C;B
608;b2;tbw;likely;a;27;C;B
609;b2;tbw;easy;s;72;C;B
610;b2;tbw;pleasant;a;72;C;B
611;b2;tbw;easy;s;82;C;B
612;b2;tbw;simple;s;91;C;B
613;b2;tbw;simple;s;105;C;B
614;b2;tbw;simple;s;125;C;B
615;b2;tbw;easy;s;144;C;B
616;b2;tbw;pleasant;a;192;C;B
617;b2;tbw;easy;s;211;C;B
618;b2;tbw;simple;s;254;C;B
619;b2;tbw;easy;s;265;C;B
620;b2;tbw;murky;s;290;C;B
621;b2;tul;easy;s;43;C;B
622;b2;tul;likely;a;74;C;B
623;b2;tul;happy;s;84;C;B
624;b2;tul;common;a;85;C;B
625;b2;tul;easy;s;114;C;B
626;b2;tul;likely;a;140;C;B
627;b2;tul;easy;s;163;C;B
628;b2;tul;flashy;s;194;C;B
629;b2;tul;happy;s;196;C;B
630;b2;tul;bitty;a;201;C;B
631;b2;tul;common;a;202;C;B
632;b2;tul;common;a;212;C;B
633;b2;tul;easy;s;282;C;B
634;b2;tul;easy;s;294;C;B
635;b2;tul;happy;s;299;C;B
636;b2;tul;happy;s;304;C;B
637;b2;tul;easy;s;343;C;B
638;b2;tul;homely;a;351;C;B
639;b2;tul;heavy;s;354;C;B
640;b2;pce;happy;s;22;C;B
641;b2;pce;common;s;28;C;B
642;b2;pce;common;s;85;C;B
643;b2;pce;common;s;85;C;B
644;b2;pce;easy;s;90;C;B
645;b2;pce;happy;s;196;C;B
646;b2;pce;common;s;205;C;B
647;b2;pce;common;s;216;C;B
648;b2;awb;easy;s;69;C;B
649;b2;awb;happy;s;160;C;B
650;b2;awb;easy;s;169;C;B
651;b2;awb;easy;s;200;C;B
652;b2;ja;tidy;s;64;C;B
653;b2;ja;easy;s;78;C;B
654;b2;ja;easy;s;232;C;B
655;b2;ja;happy;s;233;C;B
656;b2;rat;dirty;a;120;C;B
657;b2;lat;likely;a;33;C;B
658;b2;lat;cosy;s;83;C;B
659;b2;lat;likely;a;115;C;B
660;b2;lat;likely;a;155;C;B
661;b2;lat;mangy;s;230;C;B
662;b2;ta;handsome;a;12;C;B
663;b2;ta;clever;s;13;C;B
664;b2;ta;exact;a;46;C;B
665;b2;ta;simple;s;87;C;B
666;b2;ta;happy;s;123;C;B
667;b2;ta;happy;s;134;C;B
668;b2;ta;quiet;s;179;C;B
669;b2;ta;stately;a;247;C;B
670;c1;tul;able;a;174;C;B
671;c1;lat;early;s;135;C;B
672;c1;lat;intense;a;146;C;B
673;c1;ta;happy;s;57;C;B
674;c2;tul;able;a;114;C;B
675;c2;lat;mellow;a;182;C;B
676;c2;ta;early;s;21;C;B
677;c2;ta;silly;s;157;C;B
678;c3;tul;tasty;s;38;C;B
679;c3;ta;easy;s;186;C;B
680;c4;tbw;easy;s;57;C;B
681;c4;tbw;easy;s;211;C;B
682;c4;tul;happy;s;83;C;B
683;c4;tul;easy;s;100;C;B
684;c4;tul;homely;a;154;C;B
685;c4;tul;easy;s;337;C;B
686;c4;pce;easy;s;9;C;B
687;c4;rat;easy;s;145;C;B
688;c4;lat;happy;s;254;C;B
689;c4;ta;easy;s;23;C;B
690;c4;ta;easy;s;71;C;B
691;c4;ta;easy;s;83;C;B
692;c4;ta;easy;s;105;C;B
693;c4;ta;easy;s;105;C;B
694;c4;ta;easy;s;108;C;B
695;c4;ta;easy;s;148;C;B
696;c4;ta;pleasant;s;176;C;B
697;c4;ta;angry;s;237;C;B
698;d2;tbw;gassy;s;132;C;B
699;d2;tbw;heavy;s;280;C;B
700;d2;tbw;speedy;s;291;C;B
701;d2;tul;easy;s;114;C;B
702;d2;tul;happy;s;114;C;B
703;d2;tul;handsome;a;163;C;B
704;d2;tul;glossy;s;213;C;B
705;d2;tul;steady;s;252;C;B
706;d3;tul;sober;a;193;C;B
707;d3;tul;narrow;a;343;C;B
708;e1;lat;blotchy;a;233;C;B
709;e1;lat;puffy;a;233;C;B
710;e1;ta;remote;a;215;C;B
711;e1;ta;gentle;a;272;C;B
712;e2;tbw;simple;s;53;C;B
713;e2;tbw;simple;s;244;C;B
714;e2;tbw;simple;s;269;C;B
715;e2;tul;narrow;s;233;C;B
716;e2;awb;happy;a;129;C;B
717;f1;tul;messy;s;147;C;B
718;f4;tul;pleasant;a;178;C;B
719;g1;tul;ready;s;188;C;B
720;g1;pce;common;s;28;C;B
721;g1;rat;pleasant;a;216;C;B
722;h2;tul;unfree;a;186;C;B
723;h2;tul;unfree;a;186;C;B
724;i1;tbw;likely;a;66;C;B
725;i1;tbw;sticky;s;81;C;B
726;i1;tbw;heavy;s;242;C;B
727;i1;pce;lonely;s;109;C;B
728;i1;pce;silly;s;177;C;B
729;i2;tbw;heavy;s;100;C;B
730;l;tbw;common;a;38;S;B
731;l;tbw;common;a;42;S;B
732;l;tbw;common;a;68;S;B
733;l;tbw;early;s;69;S;B
734;l;tbw;busy;s;92;S;B
735;l;tbw;handy;s;94;S;B
